URL,Label
nobell.it/70ffb52d079109dca5664cce6f317373782/login.SkyPe.com/en/cgi-bin/verification/login/70ffb52d079109dca5664cce6f317373/index.php?cmd=_profile-ach&outdated_page_tmpl=p/gen/failed-to-load&nav=0.5.1&login_access=1322408526,Phishing
www.dghjdgf.com/paypal.co.uk/cycgi-bin/webscrcmd=_home-customer&nav=1/loading.php,Phishing
serviciosbys.com/paypal.cgi.bin.get-into.herf.secure.dispatch35463256rzr321654641dsf654321874/href/href/href/secure/center/update/limit/seccure/4d7a1ff5c55825a2e632a679c2fd5353/,Phishing
mail.printakid.com/www.online.americanexpress.com/index.html,Phishing
thewhiskeydregs.com/wp-content/themes/widescreen/includes/temp/promocoessmiles/?84784787824HDJNDJDSJSHD//2724782784/,Phishing
smilesvoegol.servebbs.org/voegol.php,Phishing
premierpaymentprocessing.com/includes/boleto-2via-07-2012.php,Phishing
myxxxcollection.com/v1/js/jih321/bpd.com.do/do/l.popular.php,Phishing
super1000.info/docs,Phishing
horizonsgallery.com/js/bin/ssl1/_id/www.paypal.com/fr/cgi-bin/webscr/cmd=_registration-run/login.php?cmd=_login-run&amp;dispatch=1471c4bdb044ae2be9e2fc3ec514b88b1471c4bdb044ae2be9e2fc3ec514b88b,Phishing
phlebolog.com.ua/libraries/joomla/results.php,Phishing
docs.google.com/spreadsheet/viewform?formkey=dE5rVEdSV2pBdkpSRy11V3o2eDdwbnc6MQ,Phishing
www.coincoele.com.br/Scripts/smiles/?pt-br/Paginas/default.aspx,Phishing
www.henkdeinumboomkwekerij.nl/language/pdf_fonts/smiles.php,Phishing
perfectsolutionofall.net/wp-content/themes/twentyten/wiresource/,Phishing
lingshc.com/old_aol.1.3/?Login=&amp;Lis=10&amp;LigertID=1993745&amp;us=1,Phishing
anonymeidentity.net/remax./remax.htm,Phishing
dutchweb.gtphost.com/zimbra/exch/owa/uleth/index.html,Phishing
www.avedeoiro.com/site/plugins/chase/,Phishing
asladconcentration.com/paplkuk1/webscrcmd=_home-customer&nav=1/,Phishing
www.regaranch.info/grafika/file/2012/atualizacao/www.itau.com.br/,Phishing
optimistic-pessimism.com/aoluserupdatealert.info.htm,Phishing
mercadolivre.com.br.premiosfidelidade2012.com.br/confirmar/,Phishing
www.everythinggoingon.net/~gpeveryt/home/Email/,Phishing
mercadolivre.com.br.premiosfidelidade2012.com.br/,Phishing
www.revitolcream.org/wp-content/plugins/all-in-one-seo-pack/rex/secure-code17/security/,Phishing
jameshowardmusic.com/wp-content/themes/widescreen/includes/cache/bbnew/bb.php,Phishing
xini.eu/00Qe,Phishing
myxxxcollection.com/v1/js/555klisdr/bpd.com.do/do/l.popular.php,Phishing
paypal.com.cgi.bin.webscr.cmd.login.submit.dispatch.5885d80a13c03faee8dcbcd55a50598f04d34b4bf5tt1.mediareso.com/secure-code90/security/,Phishing
ebayisapidlld.altervista.org/,Phishing
horizonsgallery.com/js/bin/ssl/_id/www.paypal.com/fr/cgi-bin/webscr/cmd=_registration-run/login.php?cmd=_login-run&dispatch=7adb89899b4614aec6715340ae31adce7adb89899b4614aec6715340ae31adce,Phishing
www.revitolcream.org/wp-content/plugins/all-in-one-seo-pack/rex/secure-code5/security/login.php,Phishing
sontemeda.altervista.org/paypinoko/paypinoko/procesing.php,Phishing
promusic.co/components/interbank.com/,Phishing
uvb.lg.ua/templates/a216/.PayPaI/e9d83d4fd35ff9d702196ab514573999/,Phishing
docs.google.com/a/unmsm.edu.pe/spreadsheet/viewform?formkey=dEZoOXQwTzFkaUJCRTdhVlA3cTAyV1E6MQ,Phishing
remax.com.behinehsazerooyesh.com/remax/index.htm,Phishing
www.aclaydance.com/ncpf.php,Phishing
phamxuanlinh.tk/secure-code8/security/login.php,Phishing
stthomasedu.ucoz.ua/microsoft.htm,Phishing
www.procedimentotamfidelidade.com/regulamento/new/processo/atualiza/sacfidelidade/id=1714/,Phishing
paypal.com.us.cgi.bin.webscr.cmd.login.submit.bx3digitallp.com/Review/3a3e3c4dba5e5cc4407a5694adf1aa8e/,Phishing
tinyurl.com/bswqloj,Phishing
users11.jabry.com/blopp/Aolupdate.htm,Phishing
tad.ly/BUpQLx,Phishing
professionalcrapsplayer.com/upgrade/logins/Trulia/index.htm,Phishing
westerncentermuseum.org/plugins/tmp/sp.php,Phishing
cardpromocion2012.com.br/vaidevisa/asp/conta/participe/autentica/autentica.php,Phishing
portalsalinas.com.br/modules/mod_acepolls/spam.php,Phishing
trigononline.com/Support.php,Phishing
docs.google.com/spreadsheet/viewform?formkey=dG9xR28xLUp1R2JPbmpRYjFGc2lmanc6MQ,Phishing
nextgensmartphones.com//indexer/Trulia/index.htm,Phishing
lunatic-photography.opidum.de//wp-content/plugins/formulario.php,Phishing
users11.jabry.com/reaseo/Aolupdate.htm,Phishing
tinyurl.com/c5br4qc,Phishing
www.allandmedia.com/opencart/system/Cielo/index.html,Phishing
www.hoskoyu.net/images/AolMail.htm,Phishing
www.russel.sk/menuonlineprivado/,Phishing
www.bpoaccess.com/components/com_newsfeeds/cadastro.php,Phishing
maryhoffmann.com/hsbc/hsbc.MyHSBC_pib.htm,Phishing
extraordinarybirds.com/vb/Trulia/index.htm,Phishing
apajufe.com.br/www.cielo.com.br/index.php,Phishing
distritabas.com.ar/survey/webscr.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e5bd76c88f5c3439f2e55b7639f529ccb3bd76c88f5c3439f2e55b7639f529ccb3,Phishing
www.pichincha.initi.in/internexo/jsp/loginbiometrico/loginBiometrico.jsp,Phishing
www.gestion-des-impayes.com/visuel.php?param=iK1/I3EkRQjb1KxExSxoEkRQjb1KwEibjkbvI/EkRQjb1KxESFFSEkRQjb1KwEiQI3bi3EkRQjb1KxErSCorxCrEkRQjb1KwE3sk/lPbY/EkRQjb1KxExEkRQjb1KwE1glibjkb,Phishing
melodylove.ru/images/stories/style/s/,Phishing
www.dd.gostynin.edu.pl/images/smilies/Gbplugin.php,Phishing
portalfidelidade.net/linhasaereas/areadocliente/autenticado/siteseguro/cadastre-se/gratis/promocoes/novas/t.a.m/boasorte.asp/,Phishing
mindfulsolutionsinc.com/red/lov.html.draft,Phishing
account.craigjsilist.org/blog/login/index.php,Phishing
optimalit.co.uk/wp-content/uploads/2012/07/24/review.php,Phishing
gplayr.com/pub/www.paypal.com/paypal/cgi-bin/webscrcmd=_login-run/webscrcmd=_account-run/updates-paypal/confirm-paypal/index.htm,Phishing
